fold,held_out_individual,n_train,n_test,selected_k,selected_pca_components,test_nmi,test_ari
1,1,300,12,3,14,0.31220923384065175,0.10810810810810811
2,2,300,12,3,14,0.25688521341031667,0.019801980198019802
3,3,300,12,3,14,0.1239914783908901,-0.07142857142857142
4,4,300,12,3,14,0.4524946739943063,0.2857142857142857
5,5,300,12,3,14,0.14094504002247657,-0.08873720136518772
6,6,300,12,3,14,0.1239914783908901,-0.07142857142857142
7,7,300,12,3,14,0.12347195475246857,-0.09009009009009009
8,8,300,12,3,14,0.28719155871879015,0.06143344709897611
9,9,300,12,3,14,0.38432410159013103,0.14285714285714285
10,10,300,12,3,14,0.18101915161943435,-0.013651877133105802
11,11,300,12,3,14,0.3530843487188946,0.14860681114551083
12,12,300,12,3,14,0.13879245616034405,-0.052805280528052806
13,13,300,12,3,14,0.034772632923120765,-0.16382252559726962
14,14,300,12,3,14,0.24711744712183234,-0.013651877133105802
15,15,300,12,3,14,0.27482303638899225,0.07142857142857142
16,16,300,12,3,14,0.35606674491040624,0.0924092409240924
17,17,300,12,3,14,0.31220923384065175,0.10810810810810811
18,18,300,12,3,14,0.034772632923120765,-0.16382252559726962
19,19,300,12,3,14,0.14094504002247657,-0.08873720136518772
20,20,300,12,3,14,0.09778804488062437,-0.1254125412541254
21,21,300,12,3,14,0.2884340118150948,0.0924092409240924
22,22,300,12,3,14,0.14883419714823506,-0.052805280528052806
23,23,300,12,3,14,0.18101915161943435,-0.013651877133105802
24,24,300,12,3,14,0.034772632923120765,-0.16382252559726962
25,25,300,12,3,14,0.1239914783908901,-0.07142857142857142
26,26,300,12,3,14,0.28719155871879015,0.06143344709897611
