component,explained_variance_ratio,cumulative_explained_variance
1,0.20262251754510285,0.20262251754510285
2,0.09064572116991475,0.2932682387150176
3,0.08133179091691854,0.37460002963193617
4,0.07322127334701499,0.4478213029789512
5,0.06603613951900474,0.513857442497956
6,0.05450386159102527,0.5683613040889812
7,0.051222992145631974,0.6195842962346132
8,0.03492189291112539,0.6545061891457385
9,0.030936522299844563,0.6854427114455831
10,0.029548536738712158,0.7149912481842953
11,0.026776455559223488,0.7417677037435187
12,0.025256907328344413,0.7670246110718631
13,0.023795721432167342,0.7908203325040305
14,0.021633843562246374,0.8124541760662769
15,0.020364823507264224,0.8328189995735411
16,0.01782485019410041,0.8506438497676415
17,0.01701403091981522,0.8676578806874568
18,0.015795576679020908,0.8834534573664776
19,0.012225996794490416,0.8956794541609681
20,0.012094934032146187,0.9077743881931143
21,0.010929709079580073,0.9187040972726943
22,0.010341176062055356,0.9290452733347496
23,0.00897734796256666,0.9380226212973163
24,0.007698075604509093,0.9457206969018254
25,0.007089795208312812,0.9528104921101381
26,0.006253768995888075,0.9590642611060262
27,0.0054607383893595235,0.9645249994953857
28,0.004832240533669477,0.9693572400290552
29,0.004112007498302237,0.9734692475273574
30,0.003913764503996483,0.9773830120313539
31,0.0029092973518090835,0.980292309383163
32,0.0027505735548658114,0.9830428829380289
33,0.002679191411653958,0.9857220743496828
34,0.0024998828328025666,0.9882219571824854
35,0.002291008734048082,0.9905129659165335
36,0.0014892412989393133,0.9920022072154728
37,0.0014638655097431725,0.993466072725216
38,0.00117422697038074,0.9946402996955968
39,0.0009360469485481948,0.995576346644145
40,0.0008744843682030001,0.996450831012348
41,0.0007969523796646642,0.9972477833920127
42,0.0005987264686554124,0.9978465098606681
43,0.00047355441867701466,0.9983200642793452
44,0.000437469794553176,0.9987575340738983
45,0.0004093975719989193,0.9991669316458972
46,0.0003443864999311982,0.9995113181458284
47,0.0002418364888901127,0.9997531546347185
48,0.00010179067860900566,0.9998549453133275
49,7.941948051900789e-05,0.9999343647938466
50,3.718113135116596e-05,0.9999715459251978
51,2.845407480246182e-05,1.0000000000000002
