fold,held_out_individual,n_train,n_test,selected_k,selected_pca_components,test_nmi,test_ari
1,1,300,12,4,14,0.23349254359202887,0.0
2,2,300,12,4,14,0.34230902993924256,0.10600706713780919
3,3,300,12,4,14,0.3665599104217399,0.028268551236749116
4,4,300,12,4,14,0.4524946739943063,0.2857142857142857
5,5,300,12,4,14,0.18101915161943435,-0.013651877133105802
6,6,300,12,4,14,0.1239914783908901,-0.07142857142857142
7,7,300,12,4,14,0.3049655922233367,0.028268551236749116
8,8,300,12,4,14,0.3012997233947408,0.01238390092879257
9,9,300,12,4,14,0.23468200889414714,-0.03355704697986577
10,10,300,12,4,14,0.20602783630902755,-0.04946996466431095
11,11,300,12,4,14,0.48781770459222096,0.23443223443223443
12,12,300,12,4,14,0.1821872043252493,-0.1254125412541254
13,13,300,12,4,14,0.17648395421669472,-0.08873720136518772
14,14,300,12,4,14,0.2161020325241631,-0.052805280528052806
15,15,300,12,4,14,0.14883419714823506,-0.052805280528052806
16,16,300,12,4,14,0.35606674491040624,0.0924092409240924
17,17,300,12,4,14,0.5028411040519548,0.18374558303886926
18,18,300,12,4,14,0.23349254359202887,0.0
19,19,300,12,4,14,0.17648395421669472,-0.08873720136518772
20,20,300,12,4,14,0.13879245616034405,-0.052805280528052806
21,21,300,12,4,14,0.44124678585355165,0.18374558303886926
22,22,300,12,4,14,0.23349254359202887,0.0
23,23,300,12,4,14,0.32527240163764926,0.050359712230215826
24,24,300,12,4,14,0.034772632923120765,-0.16382252559726962
25,25,300,12,4,14,0.2884340118150948,0.0924092409240924
26,26,300,12,4,14,0.28719155871879015,0.06143344709897611
